;;;;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2; Kupon Nr 2 ;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3; Kupon Nr 3 ;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4; Kupon Nr 4 ;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5; Kupon Nr 5 ;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6; Kupon Nr 6 ;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7; Kupon Nr 7 ;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8; Kupon Nr 8 ;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9; Kupon Nr 9 ;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10; Kupon Nr 10 ;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12; Kupon Nr 12 ;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14; Kupon Nr 14 ;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15; Kupon Nr 15 ;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16; Kupon Nr 16 ;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17; Kupon Nr 17 ;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18; Kupon Nr 18 ;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19; Kupon Nr 19 ;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20; Kupon Nr 20 ;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21; Kupon Nr 21 ;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22; Kupon Nr 22 ;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23; Kupon Nr 23 ;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24; Kupon Nr 24 ;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25; Kupon Nr 25 ;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26; Kupon Nr 26 ;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27; Kupon Nr 27 ;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28; Kupon Nr 28 ;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29; Kupon Nr 29 ;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30; Kupon Nr 30 
Seria;Kod ISIN;Data wykupu;Kupon;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci;Odsetki (PLN);Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci;Odsetki (PLN);Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) ;Poczˆtek okresu;Koniec okresu;DzieÄ ustalenia praw;Data wymagalnoæci; Odsetki (PLN) 
RS0799;PL0000101101;1999-07-01;20,71%;1998-07-01;1999-07-01;1999-06-18;1999-07-01;20,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RS1099;PL0000101119;1999-10-01;18,00%;1998-10-01;1999-10-01;1999-09-20;1999-10-01;18,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RS0700;PL0000101267;2000-07-01;10,50%;1999-07-01;2000-07-01;2000-06-19;2000-07-01;10,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RS1000;PL0000101333;2000-10-01;11,00%;1999-10-01;2000-10-01;2000-09-20;2000-10-01;11,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0696;PL0000100178;1996-06-12;18,00%;1994-03-05;1994-06-12;1994-05-28;1994-06-13;48,82;1994-06-12;1995-06-12;1995-05-28;1995-06-12; 180,00    ;1995-06-12;1996-06-12;1996-05-28;1996-06-12; 180,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1096;PL0000100202;1996-10-12;18,00%;1994-07-05;1994-10-12;1994-10-05;1994-10-12;48,82;1994-10-12;1995-10-12;1995-10-05;1995-10-12; 180,00    ;1995-10-12;1996-10-12;1996-10-05;1996-10-14; 180,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0297;PL0000100251;1997-02-12;17,00%;1994-11-05;1995-02-12;1995-02-05;1995-02-13;46,11;1995-02-12;1996-02-12;1996-02-05;1996-02-12; 170,00    ;1996-02-12;1997-02-12;1997-02-05;1997-02-12; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0697;PL0000100293;1997-06-12;17,00%;1995-02-05;1995-06-12;1995-06-05;1995-06-12;59,15;1995-06-12;1996-06-12;1996-06-05;1996-06-12; 170,00    ;1996-06-12;1997-06-12;1997-06-05;1997-06-12; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
